"Name","Location","Year","Kilometers_Driven","Fuel_Type","Seats","Price","brand","Engine_CC","Power_bhp","New_Price2","Mileage_kmpl","Transauto1","Owner_Type2"
"Maruti Wagon R LXI CNG","Mumbai",2010,72000,"CNG",5,1.75,"Maruti",998,58.16,NA,26.6,0,1
"Hyundai Creta 1.6 CRDi SX Option","Pune",2015,41000,"Diesel",5,12.5,"Hyundai",1582,126.2,NA,19.67,0,1
"Honda Jazz V","Chennai",2011,46000,"Petrol",5,4.5,"Honda",1199,88.7,8.61,18.2,0,1
"Maruti Ertiga VDI","Chennai",2012,87000,"Diesel",7,6,"Maruti",1248,88.76,NA,20.77,0,1
"Audi A4 New 2.0 TDI Multitronic","Coimbatore",2013,40670,"Diesel",5,17.74,"Audi",1968,140.8,NA,15.2,1,2
"Hyundai EON LPG Era Plus Option","Hyderabad",2012,75000,"LPG",5,2.35,"Hyundai",814,55.2,NA,21.1,0,1
"Nissan Micra Diesel XV","Jaipur",2013,86999,"Diesel",5,3.5,"Nissan",1461,63.1,NA,23.08,0,1
"Toyota Innova Crysta 2.8 GX AT 8S","Mumbai",2016,36000,"Diesel",8,17.5,"Toyota",2755,171.5,21,11.36,1,1
"Volkswagen Vento Diesel Comfortline","Pune",2013,64430,"Diesel",5,5.2,"Volkswagen",1598,103.6,NA,20.54,0,1
"Tata Indica Vista Quadrajet LS","Chennai",2012,65932,"Diesel",5,1.95,"Tata",1248,74,NA,22.3,0,2
"Maruti Ciaz Zeta","Kochi",2018,25692,"Petrol",5,9.95,"Maruti",1462,103.25,10.65,21.56,0,1
"Honda City 1.5 V AT Sunroof","Kolkata",2012,60000,"Petrol",5,4.49,"Honda",1497,116.3,NA,16.8,1,1
"Maruti Swift VDI BSIV","Jaipur",2015,64424,"Diesel",5,5.6,"Maruti",1248,74,NA,25.2,0,1
"Land Rover Range Rover 2.2L Pure","Delhi",2014,72000,"Diesel",5,27,"Land",2179,187.7,NA,12.7,1,1
"Land Rover Freelander 2 TD4 SE","Pune",2012,85000,"Diesel",5,17.5,"Land",2179,115,NA,0,1,2
"Mitsubishi Pajero Sport 4X4","Delhi",2014,110000,"Diesel",7,15,"Mitsubishi",2477,175.56,32.01,13.5,0,1
"Honda Amaze S i-Dtech","Kochi",2016,58950,"Diesel",5,5.4,"Honda",1498,98.6,NA,25.8,0,1
"Maruti Swift DDiS VDI","Jaipur",2017,25000,"Diesel",5,5.99,"Maruti",1248,74,NA,28.4,0,1
"Renault Duster 85PS Diesel RxL Plus","Kochi",2014,77469,"Diesel",5,6.34,"Renault",1461,83.8,NA,20.45,0,1
"Mercedes-Benz New C-Class C 220 CDI BE Avantgare","Bangalore",2014,78500,"Diesel",5,28,"Mercedes-Benz",2143,167.62,NA,14.84,1,1
"BMW 3 Series 320d","Kochi",2014,32982,"Diesel",5,18.55,"BMW",1995,190,47.87,22.69,1,1
"Maruti S Cross DDiS 200 Alpha","Bangalore",2015,55392,"Diesel",5,8.25,"Maruti",1248,88.5,NA,23.65,0,2
"Audi A6 2011-2015 35 TFSI Technology","Mumbai",2015,55985,"Petrol",5,23.5,"Audi",1984,177.01,NA,13.53,1,1
"Hyundai i20 1.2 Magna","Kolkata",2010,45807,"Petrol",5,1.87,"Hyundai",1197,80,NA,18.5,0,1
"Volkswagen Vento Petrol Highline AT","Kolkata",2010,33000,"Petrol",5,2.85,"Volkswagen",1598,103.6,NA,14.4,1,1
"Honda City Corporate Edition","Mumbai",2012,51920,"Petrol",5,4.25,"Honda",1497,116.3,NA,16.8,0,1
"Nissan Micra Diesel XV","Hyderabad",2012,54000,"Diesel",5,4.25,"Nissan",1461,63.1,NA,23.08,0,1
"Maruti Alto K10 2010-2014 VXI","Hyderabad",2013,54000,"Petrol",5,2.75,"Maruti",998,67.1,NA,20.92,0,2
"Honda WRV i-VTEC VX","Kochi",2018,37430,"Petrol",5,9.9,"Honda",1199,88.7,10.57,17.5,0,1
"Toyota Innova 2.5 V Diesel 7-seater","Mumbai",2007,262000,"Diesel",7,4,"Toyota",2494,102,NA,12.8,0,4
"Renault Duster 110PS Diesel RxZ Pack","Bangalore",2013,62000,"Diesel",5,7.75,"Renault",1461,108.45,NA,19.01,0,1
"Toyota Corolla Altis G","Delhi",2012,87615,"Petrol",5,6.75,"Toyota",1798,138.1,NA,14.53,0,1
"Mahindra Ssangyong Rexton RX7","Bangalore",2013,72000,"Diesel",7,12.5,"Mahindra",2696,184,NA,11.18,1,2
"Audi A6 2.7 TDI","Kolkata",2010,35000,"Diesel",5,11.5,"Audi",2698,179.5,NA,12.4,1,1
"Volkswagen Vento 1.6 Highline","Coimbatore",2014,55431,"Petrol",5,6.98,"Volkswagen",1598,103.5,12.33,16.09,0,2
"Maruti Wagon R LXI BSIII","Jaipur",2009,83816,"Petrol",5,1.85,"Maruti",1061,64,NA,14,0,2
"Maruti Vitara Brezza ZDi Plus","Kochi",2018,50075,"Diesel",5,8.63,"Maruti",1248,88.5,11.12,24.3,0,1
"Mahindra KUV 100 mFALCON G80 K6 5str AW","Delhi",2017,52000,"Petrol",5,4.85,"Mahindra",1198,82,NA,18.15,0,1
"Mercedes-Benz M-Class ML 350 CDI","Pune",2013,85000,"Diesel",5,28,"Mercedes-Benz",2987,254.8,NA,11.74,1,1
"Volkswagen Polo Diesel Trendline 1.2L","Chennai",2013,62000,"Diesel",5,5,"Volkswagen",1199,73.9,NA,22.07,0,1
"Maruti Alto LXi","Delhi",2008,90000,"Petrol",5,1.25,"Maruti",796,46.3,NA,19.7,0,2
"Tata Nano LX SE","Kochi",2014,19698,"Petrol",4,1.53,"Tata",624,37.5,NA,25.4,0,1
"Mahindra KUV 100 mFALCON D75 K8 Dual Tone","Coimbatore",2017,22033,"Diesel",6,5.58,"Mahindra",1198,77,NA,25.32,0,1
"Hyundai i20 Magna Optional 1.2","Kochi",2014,35487,"Petrol",5,4.74,"Hyundai",1197,82.9,NA,18.5,0,1
"Hyundai Elantra 2.0 SX Option AT","Bangalore",2014,46374,"Petrol",5,8.85,"Hyundai",1999,149.92,23.64,14.62,1,1
"Toyota Corolla Altis G AT","Mumbai",2016,52001,"Petrol",5,10.11,"Toyota",1798,138.03,NA,14.28,1,1
"Hyundai Elantra CRDi","Ahmedabad",2008,58005,"Diesel",5,4.25,"Hyundai",1991,112.2,NA,14.9,0,2
"Toyota Innova Crysta 2.7 GX MT","Bangalore",2012,70704,"Petrol",7,10.95,"Toyota",2694,163.7,18.64,11.25,0,1
"Hyundai Xcent 1.1 CRDi S","Jaipur",2014,75000,"Diesel",5,3.85,"Hyundai",1120,71,NA,24.4,0,1
"Mahindra Thar CRDe AC","Jaipur",2012,75800,"Diesel",6,5.5,"Mahindra",2498,105,NA,16.55,0,2
"Audi A4 2.0 TDI 177 Bhp Premium Plus","Kochi",2015,13648,"Diesel",5,21.43,"Audi",1968,174.33,NA,17.11,1,1
"Maruti Swift LDI","Delhi",2014,52000,"Diesel",5,4.25,"Maruti",1248,74,NA,22.9,0,1
"Maruti Swift Ldi BSIV","Kolkata",2014,53000,"Diesel",5,3.3,"Maruti",1248,75,NA,17.8,0,1
"Maruti Swift VDI","Delhi",2013,65650,"Diesel",5,3.85,"Maruti",1248,74,NA,28.4,0,1
"Hyundai Grand i10 Sportz","Chennai",2015,54000,"Petrol",5,3.6,"Hyundai",1197,82,NA,18.9,0,3
"Volkswagen Vento 2013-2015 1.6 Comfortline","Kolkata",2015,39000,"Petrol",5,3.99,"Volkswagen",1598,103.2,NA,15.04,0,1
"Renault KWID RXT","Kochi",2017,16542,"Petrol",5,3.3,"Renault",799,53.3,NA,25.17,0,1
"Hyundai i10 Asta","Kolkata",2010,32000,"Petrol",5,2.07,"Hyundai",1197,78.9,NA,20.36,0,1
"Nissan X-Trail SLX AT","Hyderabad",2010,121812,"Diesel",5,7.75,"Nissan",1995,147.6,NA,13.29,1,1
"Maruti Zen Estilo VXI BSIII","Hyderabad",2010,39300,"Petrol",5,2.25,"Maruti",998,67.1,NA,18.2,0,1
"Toyota Innova Crysta 2.4 GX MT 8S","Mumbai",2017,22000,"Diesel",8,16.5,"Toyota",2393,147.8,19.34,13.68,0,1
"Ford Figo Diesel Titanium","Bangalore",2010,72000,"Diesel",5,2.75,"Ford",1399,68,NA,20,0,1
"Mercedes-Benz New C-Class C 200 CGI Avantgarde","Delhi",2015,58000,"Petrol",5,26.7,"Mercedes-Benz",1796,186,NA,11.74,1,1
"Mercedes-Benz New C-Class 200 CDI Classic","Pune",2011,65000,"Diesel",5,10,"Mercedes-Benz",2148,170,NA,15.8,0,2
"Tata Indica V2 eLS","Chennai",2016,178000,"Diesel",5,2.5,"Tata",1396,69,NA,25,0,1
"Audi A4 2.0 TDI Multitronic","Jaipur",2012,65664,"Diesel",5,13.5,"Audi",1968,140,NA,16.55,1,1
"Honda City ZX CVT","Mumbai",2007,63000,"Petrol",5,1.85,"Honda",1497,78,NA,16.4,1,2
"Mercedes-Benz C-Class Progressive C 220d","Coimbatore",2019,15369,"Diesel",5,35.67,"Mercedes-Benz",1950,194,49.14,0,1,1
"Maruti Ertiga SHVS VDI","Pune",2016,63000,"Diesel",7,8.15,"Maruti",1248,88.5,NA,24.52,0,1
"Hyundai Creta 1.4 E Plus Diesel","Mumbai",2018,13000,"Diesel",5,10.5,"Hyundai",1396,88.7,11.81,22.1,0,1
"Porsche Cayenne 2009-2014 Turbo","Mumbai",2008,73000,"Petrol",5,14.5,"Porsche",4806,500,NA,8.5,1,1
"Mahindra XUV500 W8 4WD","Mumbai",2015,55729,"Diesel",7,9.65,"Mahindra",2179,140,NA,15.1,0,1
"Hyundai i10 Sportz 1.2 AT","Kochi",2012,45178,"Petrol",5,3.48,"Hyundai",1197,78.9,NA,16.95,1,1
"Nissan Terrano XV D Pre","Kochi",2015,56066,"Diesel",5,6.92,"Nissan",1461,108.5,16.65,19.64,0,1
"Honda Brio VX AT","Coimbatore",2016,37300,"Petrol",5,6.46,"Honda",1198,86.8,NA,16.5,1,2
"Audi A6 2.0 TDI Design Edition","Delhi",2014,56000,"Diesel",5,29.5,"Audi",1968,187.74,NA,18.53,1,2
"Ford Fiesta 1.4 SXi TDCi","Jaipur",2008,111111,"Diesel",5,2,"Ford",1399,NA,NA,17.8,0,1
"Toyota Innova 2.0 G1","Chennai",2006,230000,"Petrol",8,4.5,"Toyota",1998,132,NA,12.4,0,3
"Toyota Innova 2.5 VX 7 STR BSIV","Hyderabad",2012,104000,"Diesel",7,11.75,"Toyota",2494,102,NA,12.8,0,1
"Hyundai Santro Xing XL","Hyderabad",2005,87591,"Petrol",5,1.3,"Hyundai",1086,NA,NA,0,0,1
"Maruti Swift VDI","Jaipur",2012,95100,"Diesel",5,3.75,"Maruti",1248,74,NA,22.9,0,1
"Tata Zest Revotron 1.2T XE","Pune",2017,70000,"Petrol",5,4.5,"Tata",1193,88.7,6.67,17.57,0,1
"Honda Amaze SX i-VTEC","Kochi",2016,54944,"Petrol",5,4.82,"Honda",1198,86.7,NA,18,0,1
